1.400,Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.,"In New York, Vivendi shares were 1.4 percent down at $18.29."
3.800,"""There is no doubt about the chemical programme, biological programme, indeed nuclear programme, indeed all that was documented by the UN,"" he said.","He added: ""There is no doubt about the chemical programme, the biological programme and indeed the nuclear weapons programme."
4.600,Ridge said no real explosives or harmful devices will be used in the exercise.,Ridge said that no actual explosives or other harmful substances will be used.
3.250,"This is America, my friends, and it should not happen here,"" he said to loud applause.","""This is America, my friends, and it should not happen here."""
3.750,"On May 1, he crawled through a narrow, winding canyon, rappelled down a 60-foot cliff and walked some six miles down the canyon.","He crawled through a narrow, winding canyon, rappelled down a 60-foot cliff, and walked some six miles down the canyon near Canyonlands National Park in southeastern Utah."
4.000,"Amnesty International has said that over the past 20 years it has collected information about 17,000 disappearances in Iraq but the actual figure may be much higher.","Amnesty International said that over the past 20 years it had collected information about 17,000 disappearances in Iraq."
3.750,Texas Instruments climbed $1.37 to $19.25 yesterday and Novellus Systems Inc. advanced $1.76 to $36.31.,"Texas Instruments climbed $US1.37 to $US19.25 and Novellus Systems advanced $US1.76 to $US36.31, each having been raised to ""overweight"" by Lehman."
3.455,She asked to be excused from last week's Cabinet session to prepare for a meeting with the presidents of Rwanda and Uganda.,She took the highly unusual step of skipping cabinet to attend a meeting with the presidents of Rwanda and Uganda.
4.000,"In a mixture of ancient pagan and modern Christian rites, the villagers have staged a series of ceremonies hoping to erase the misfortunes they believe have kept them poor.",In a mixture of ancient Melanesian pagan and modern Christian ceremonies the people tried again to erase the misfortunes they believe have kept them poor since that long-ago meal.
2.500,"The Dow Jones industrial average .DJI edged up 13.33 points, or 0.15 percent, to 9,196.55.","The Dow Jones industrial average <.DJI> was off 7.75 points, or 0.08 percent, at 9,175.47."
0.250,Monkeypox is usually found only in central and western Africa.,"Prairie dogs, usually found in southwestern and western states, aren’t indigenous to Wisconsin."
3.833,"The film is the second of a trilogy, which will wrap up in November with The Matrix Revolutions.","""Reloaded"" is the second installment of a trilogy; ""The Matrix Revolutions"" is slated for debut in November."
3.750,"In addition, the Justice Department said that the FBI has conducted ''fewer than 10'' investigations involving visits to mosques.","In addition, ""fewer than 10"" FBI offices have conducted investigations involving visits to Islamic mosques, the Justice Department said."
3.250,The launch coincides with the JavaOne developers' conference in San Francisco this week.,The news also comes in conjunction with Suns annual JavaOne developers conference in San Francisco.
2.750,"A Royal Duty is based on his experiences with Diana, Princess of Wales and letters allegedly to and from her.","The royal household was bracing itself for any more revelations in A Royal Duty, based on the former servant’s time with Diana, Princess of Wales."
3.000,"The army said the raid, which comes just days after Israeli troops shot and killed Abdullah Kawasme, the Hamas leader in the city, targeted militants in Hamas.","The arrests came just days after Israeli troops shot and killed Abdullah Kawasme, the militant group's leader in Hebron."
3.200,"SARS went on to claim the lives of 44 people in the Toronto area, including two nurses and a doctor.","The virus killed 44 people in the Toronto area, including one doctor and two nurses."
4.600,"Apple Computer's new online music service sold more than 1 million songs during its first week of operation, the company said Monday.",Apple Computer Inc. said Monday it exceeded record industry expectations by selling more than 1 million songs since the launch of its online music store a week ago.
3.600,He had been arrested twice before for trespassing and barred from the complex - home to his mother and two children.,He had been arrested twice before for trespassing and was barred from the complex.
4.400,Oracle Corp's Chairman and CEO Larry Ellison didn't rule out sweetening the company's unsolicited offer to acquire rival PeopleSoft Inc.,Oracle chairman Larry Ellison has hinted that the company could yet again increase its offer for rival PeopleSoft.
4.056,"The Portuguese weather service said Europe's heatwave was caused by a mass of hot, dry air moving from the southeast.","The heatwave was due to a mass of hot, dry air from the southeast, said Mario Almeida of Portugal's weather service."
3.500,"""Spending taxpayer dollars to create terrorism betting parlors is as wasteful as it is repugnant,"" they announced at a press conference yesterday.","""Spending taxpayer dollars to create terrorism betting parlors is as wasteful as it is repugnant,"" Wyden and Dorgan said Monday in a letter to the Pentagon."
5.000,"Still, the ""somewhat ambiguous ruling"" might be a setback for Static Control depending on how it developed its competing product, Merrill Lynch analyst Steven Milunovich said.","But Merrill Lynch analyst Steven Milunovich said the ""somewhat ambiguous ruling"" by regulators might be a setback for Static Control depending on how it developed its competing product."
4.000,The monkeys could track their progress by watching a schematic representation of the arm and its motions on a video screen.,"The arm was kept in a separate room, but the monkeys could track their progress by watching a representation of the arm and its motions on a video screen."
4.000,"That triggered a 47-hour police standoff that inconvenienced thousands of commuters, as traffic backed up in Downtown Washington and northern Virginia.",His protest led to a 47-hour standoff with police that caused huge traffic jams in downtown Washington and northern Virginia.
4.750,"The Standard & Poor's 500 index advanced 6.48, or 0.7 per cent, to 990.51.","The broader Standard & Poor's 500 Index .SPX rose 6.48 points, or 0.66 percent, to 990.51."
3.750,Agriculture ministers from more than one hundred nations are expected to attend the three-day Ministerial Conference and Expo on Agricultural Science and Technology sponsored by the U.S. Department of Agriculture.,U.S. Agriculture Secretary Ann Veneman kicks off the three-day Ministerial Conference and Expo on Agricultural Science and Technology on Monday.
4.000,Complicating the situation is the presence of battle-hardened Liberians who have been fighting on both sides.,"Fighting has continued sporadically in the west, where it is complicated by the presence of battle-hardened Liberians on both sides."
3.500,This year the Audubon Society once again hosts its annual Christmas Bird Count.,"It's the National Audubon Society's annual Christmas Bird Count, now in its 104th season."
3.000,"Before it was removed, the site listed in broken English the rules for hackers who might participate.","Organizers established a Web site, http://defacerschallenge.com, listing in broken English the rules for hackers who might participate."
4.200,Doctors have speculated that the body’s own estrogen protects against cell damage and improves blood flow.,Their belief was based on speculation that estrogen prevents cell damage and improves blood flow.
3.400,They also found shortness was associated with a family history of hearing loss.,Shortness was found twice as often in those with hearing loss.
4.600,"Cisco executives said they were encouraged by $1.3 billion in cash flow and the increase in net income, but hoped for a rebound.","Cisco executives were encouraged by $1.3 billion in cash flow and the increase in net income, but said they remained ``cautiously optimistic'' about a rebound."
4.000,"In an E-mail statement to the Knoxville News Sentinel, Shumaker said, ''I am not giving any consideration to resignation.","I am not giving any consideration to resignation,"" Shumaker said in a statement."
4.000,A poll showed that the FBI bugging of the mayor had given a boost to his reelection effort against GOP opponent Sam Katz.,A poll released this week showed that the FBI bugging of the mayor has given a boost to his re-election effort.
3.643,"The injured passenger at John Peter Smith Hospital died later Friday morning, Jones said.","The injured passenger at John Peter Smith died later in the morning; his name has not been released, Jones said."
3.600,"Doctors had planned to deliver him two weeks early, on or around November 14.","A Caesarean had originally been planned in mid- November, two weeks early."
4.000,"Sobig.F spreads when unsuspecting computer users open file attachments in emails that contain such familiar headings as ""Thank You!,"" ""Re: Details"" or ""Re: That Movie.""","The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like ""Thank You!"" and ""Re: Details""."
1.000,"The technology-laced Nasdaq Composite Index .IXIC rose 17.26 points, or 1.06 percent, to 1,640.06, based on the latest data.","The broader Standard & Poor's 500 Index <.SPX> gained 5.51 points, or 0.56 percent, to 981.73."
3.400,"Founders of the group are Matsushita Electric, Sony, Hitachi, NEC, Royal Philips Electronics, Samsung, Sharp and Toshiba.","CELF's founding members are Hitachi, Matsushita, NEC, Philips, Samsung, Sharp, Sony, and Toshiba."
1.750,"Is it in the food supply?"" says David Ropeik, director of risk communication at the Harvard Center for Risk Analysis.","""It's not zero,"" said David Ropeik, director of risk communication at the Harvard Center for Risk Analysis."
3.000,"During a screaming match in 1999, Carolyn told John she was still sleeping with Bergin.","She, in turn, occasionally told John that she was still sleeping with an ex-boyfriend, ""Baywatch"" hunk Michael Bergin."
3.250,"On the other hand, if this will help further establish Steve's innocence, we welcome it.""","If draining the ponds in Maryland will further help establish Steve's innocence, we welcome it."""
3.400,"Fletcher said he expects to have the support of lawmakers from agricultural states, many of whom are on the committee.",He said he also expects to have the support of lawmakers from other agricultural states.
3.200,"Seven 20- and 21-year-old cadets were ticketed by police for drinking alcohol in an off-campus hotel room early Saturday with two young women, aged 16 and 18.","Seven 20- and 21-year-old male cadets were caught in an off-campus hotel room early Saturday with two female teens, 16 and 18 years."
2.800,Such a step could put the issue before the UN Security Council.,The matter could then be sent to the U.N. Security Council.
2.400,"He planned to stay all day until the river crested, which was forecast for late last night.",He and the other lawyers planned to stay until the river starts receding.
3.400,"The camp hosts summer religious retreats for children and other events year-round, according to its Web site.","The Saint Sophia Camp hosts religious retreats for children during the summer months as well as other events year round, according to its Web site."
3.600,Dealers said the single currency's downward momentum against the dollar could pick up speed if it broke below $1.15.,Dealers said the euro's downward momentum may pick up speed should it break below $1.15.
3.800,"Gemstar's shares gathered up 2.6 percent, adding 14 cents to $5.49 at the close.","Gemstar shares moved higher on the news, closing up 2.6 percent at $5.49 on Nasdaq."
4.800,"Along with chipmaker Intel, the companies include Sony Corp., Microsoft Corp., Hewlett-Packard Co., IBM Corp., Gateway Inc. and Nokia Corp.","Along with chip maker Intel, the companies include Sony, Microsoft, Hewlett-Packard, International Business Machines, Gateway, Nokia and others."
3.800,"Kroger Co., which owns Ralphs, and Albertsons Inc. bargain jointly with Safeway and locked out their union workers the next day.","In a show of corporate solidarity, Kroger Co., which owns Ralphs, and Albertson Inc. locked out their workers the next morning."
3.333,"According to the Census Bureau, the Hispanic population increased by 9.8 percent from the April 2000 census figures.","The Hispanic population increased by 9.8per cent from the April 2000 census figures, despite less favourable social and economic conditions than in the 1990s."
2.500,Its shares jumped to $54.50 in pre-open trading from $50.90 at Wednesday's close.,"Shares jumped almost 7 percent in pre-open trading, rising to $18.26 from $17.05 at Tuesday's close."
2.400,"The Dow Jones industrial average <.DJI> was off 58.69 points, or 0.64 percent, at 9,137.86.","The Dow Jones industrial average .DJI fell 79.43 points, or 0.86 percent, to 9,117.12 on Friday."
3.800,"His lawyer, Pamela MacKey, said Bryant expects to be completely exonerated.","""Mr. Bryant is innocent and expects to be completely exonerated,"" Mackey said in a statement."
3.000,"It was the best advance since Oct. 1, when the index gained 22.25.","Standard & Poor's 500 index rose 15.66 to 1,046.79, its best advance since Oct. 1, when it gained 22.25."
3.692,Mr. Mask said Mr. Cullen would be taken from the Somerset County Jail by Thursday and moved to the Ann Klein Forensic Hospital just outside Trenton for psychiatric care.,"Charles Cullen, 43, was transferred from the Somerset County Jail in Somerville to the Anne Klein Forensic Center, a 150-bed psychiatric treatment facility in Trenton."
3.000,Scientists believed Stardust trapped thousands of particles of dust.,Stardust was designed to gather thousands of dust particles streaming from Wild 2.
2.750,The report by the independent expert committee aims to dissipate any suspicion about the Hong Kong government's handling of the SARS crisis.,A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.
3.250,Both devices implement the v1.2 standard's eSCO facility to provide the basis for new cordless telephony applications.,BlueCore3 also implements v1.2's eSCO facility to provide the basis for advanced cordless telephony applications for Bluetooth transmission.
3.500,"The drop in core wholesale prices in April reflected falling prices for cars, trucks, men's and boy's clothes and cigarettes.","That was the biggest drop since August 1993 and stemmed from falling prices for cars, trucks, men's and boys' clothes and cigarettes."
3.000,"International rescue workers are scouring flattened debris for survivors in Iran's shattered ancient Silk Road city of Bam after a violent earthquake killed more than 20,000 people.",International rescue workers hacked desperately through flattened debris for survivors and cemeteries overflowed in Iran's ancient Silk Road city of Bam yesterday.
4.000,"Griffith, a Mount Airy native, now lives on the North Carolina coast in Manteo.","Griffith, 77, grew up in Mount Airy and now lives in Manteo."
4.667,The Conference Board reported its U.S. Consumer Confidence Index slipped to 83.5 in June from 83.6 in May.,"The consumer-confidence index came in at 83.5 in June, down slightly from a revised 83.6 in May, the Conference Board said."
3.333,"""I notice a mood change in their priorities,"" one politician said.","""I notice a mood change in their priorities,"" said one Iraqi politician after meeting with Mr. Bremer."
2.400,"Heather, 35, who lost a leg in a road accident, is thought to have steel plates fitted in her hips, which would make natural childbirth impossible.",Former model Lady McCartney lost a leg in a road accident in 1993 and is understood to have steel plates fitted in her hips which would make natural childbirth difficult.
3.857,"The network is also dropping its Friday night ""Dateline"" edition.","The network will drop one edition of ""Dateline,"" its newsmagazine franchise."
2.400,Vice President Dick Cheney and Mississippi Republican gubernatorial candidate Haley Barbour acknowledge the cheering crowd.,Vice President Dick Cheney says Mississippi Republican Haley Barbour would be a good governor because of his government and business savvy.
3.000,"The 51-year-old nurse worked at North York General Hospital, the epicentre of the latest outbreak.","Emile Laroza, 51, contracted SARS while working as a nurse at North York General Hospital, the epicentre of the second SARS outbreak."
2.000,Rusch has also allowed five or more earned runs in each of his last three starts.,Redman has allowed two earned runs or less in six of his nine starts.
1.600,Mr. Turner transferred about 10 million shares to a charitable trust before they were sold.,The sales leave Mr. Turner with about 45 million shares in AOL.
4.000,He also recruited others to participate in the scheme by convincing them to receive fraudulently obtained merchandise he had ordered for himself.,He also recruited other people to take delivery of fraudulently obtained merchandise he had ordered.
3.800,The New York Mets then selected outfielder Lastings Milledge from Lakewood Ranch High School in Florida.,"The Mets took Lastings Milledge, an outfielder from Florida, with the 12th pick."
1.273,Florida Sen. Bob Graham was not identifiable by 61 percent of those polled.,Kerry was viewed favorably by 66 percent of those polled; Dean at 57 percent.
1.000,"The broader Standard & Poor's 500 Index .SPX rose 3.47 points, or 0.36 percent, to 977.59.","The tech-laden Nasdaq Composite Index .IXIC shed 8 points, or 0.45 percent, to 1,645."
3.000,"As a result, 24 players broke par in the first round.","Twenty-four players broke par in the first round, the third highest figure in U.S. Open history."
4.000,Albertsons and Kroger's Ralphs chain locked out their workers in response.,Kroger's Ralphs chain and Albertsons immediately locked out their grocery workers in a show of solidarity.
2.000,"The technology-packed Nasdaq Composite Index <.IXIC> dropped 37.78 points, or 1.94 percent, to 1,912.36.","The Nasdaq composite index fell 2.95, or 0.2 percent, for the week to 1,912.36 after stumbling 37.78 yesterday."
1.000,"Shares of SCO closed at $10.93, down 28 cents, in Monday trading on the Nasdaq Stock Market.","IBM shares closed up $1.75, or 2.11 percent, at $84.50 on the New York Stock Exchange."
3.000,"The House voted 425 to 2 to clear the bill, the first of 13 that Congress must pass each year to fund the federal government.",The bill is among the first of 13 that Congress must pass each year to fund the federal government.
4.750,"Knight agreed to a two-year, $2.38 million contract that included a $300,000 signing bonus.","ESPN reported that Knight's two-year deal is worth $2.38 million, including a $300,000 signing bonus."
2.750,"Against the Japanese currency, the euro was at 135.92/6.04 yen against the late New York level of 136.03/14.","The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent."
4.500,The procedure is generally performed in the second or third trimester.,"The technique is used during the second and, occasionally, third trimester of pregnancy."
3.000,"Besides Hampton and Newport News, the grant funds water testing in Yorktown, King George County, Norfolk and Virginia Beach.","The grant also funds beach testing in King George County, Norfolk and Virginia Beach."
3.000,He said the attackers left behind leaflets urging staff at the Ishtar Sheraton to stop working at the hotel and demanding U.S. forces leave Iraq.,He said the attackers left behind leaflets urging workers at the Ishtar Sheraton to stop working at the hotel.
3.000,"With diplomacy heating up in the nearly 10-month-old nuclear crisis, Chinese Foreign Minister Li Zhaoxing is slated to visit South Korea from August 13 to 15.","With diplomacy heating up in the nearly 10-month-old crisis, Chinese Foreign Minister Li Zhaoxing flies to Japan on Sunday en route to South Korea on August 13."
2.588,Bond bulls would like the Fed to recognize that risks are biased toward economic weakness.,The Fed also said the risks to the economy were biased toward weakness.
3.600,"""There is the real potential for a secondary collapse,"" Gov. James McGreevey said.","The damaged area of the garage was not stable, with ``the real potential for a secondary collapse,'' McGreevey said."
2.333,No. 2 HP saw its Unix server sales dropped 3.6 percent to $1.36 billion.,HP fell to second place with server sales growing 0.4 percent to $2.9 billion.
2.250,"""People are obviously inconvenienced,"" said Dr. Jim Young, Ontario's commissioner of public safety.","""We're being hyper-vigilant,"" said Dr. James Young, Ontario's commissioner of public safety."
2.500,"The others were given copies of ""Dr. Atkins' New Diet Revolution"" and told to follow it.","The researchers gave copies of ""Dr. Atkins' New Diet Revolution"" to the carb-cutters."
4.500,"The rapper's lawyer, Mark Gann, didn't return calls for comment.","The 27-year-old rapper's attorney in the civil matter, Mark Gann, did not return calls for comment."
4.750,"Also weighing on the market was news that General Motors GM.N planned to issue $10 billion in debt, in part to plug a hole in its pension plan.","Also hurting was news General Motors GM.N was to issue $10 billion in debt, in part to plug a hole in its pension plan."
3.400,Russin did not comment; his lawyer did not attend the hearing and did not return phone messages.,"His lawyer, a cousin, Basil Russin, did not attend the hearing and did not return phone messages."
4.000,"Licensing revenue slid 21 percent, however, to $107.6 million.","License sales, a key measure of demand, fell 21 percent to $107.6 million."
3.500,"Hispanics, the fastest growing ethnic group in the US, have overtaken blacks to become the largest minority in the US, according to newly released government figures.","Hispanics have officially overtaken African Americans as the largest minority group in the US, according to a report released by the US Census Bureau."
2.000,"The Bishop of Armidale, Peter Brain, was forthright.","""He hasn't got much choice,"" said the Bishop of Armidale, Peter Brain."
4.000,"When fully operational, the facility is expected to employ up to 1,000 people.","The plant would employ 1,000 people when fully built out, the company said."
1.400,The American Stock Exchange biotech index .BTK surged 5 percent.,The Philadelphia Stock Exchange's semiconductor index .SOXX jumped 6.10 percent.
3.200,"""I really liked him and I still do,"" Cohen Alon told the Herald yesterday.","And I really liked him, and I still do."
1.800,"For the full 12-month period ending June 30, 2003, advanced services lines for ADSL increased by 37 percent and cable modem connections increased by 75 percent.","For the 12-month period ending June 30, high-speed lines installed in homes and businesses increased by 45 percent."
3.200,State Education Commissioner Kent King said Wednesday that the scores on the Missouri Assessment Program tests disappointed him.,Missouri Education Commissioner Kent King said he was disappointed by the scores.
4.800,"Agents found more than 1,000 credit cards and credit card duplicating machines during a search of Ragin's address.","When Ragin's address was raided, authorities found more than 1,000 credit cards and duplicating machines."
1.400,"Lowe's, with about half as many stores, reported a 33 percent increase in third-quarter profit behind a 12 percent jump in same-store sales.",Home Depot reported a 22 percent jump in third-quarter profit behind a nearly 8 percent rise in same-store sales.
2.600,Caldera acquired the Unix server software of the original SCO and changed its name to the SCO Group.,"SCO changed its name to Tarantella, and Caldera later changed its name to the SCO Group."
3.250,"Officers threw him to the ground and handcuffed him, and Reyna dropped a knee into his back, according to testimony.","That's when officers threw him to the ground and handcuffed him, according to testimony."
1.750,"The best-performing stock was Altria Group Inc., which rose more than 27 percent to close at $42.31 a share.","Altria Group Inc. MO.N fell 50 cents, or 1.2 percent, to $41.81."
3.000,"Officials are trying to retrieve the bodies from the water,"" police officer J.D. Tambe told Reuters, adding 26 of the dead were women.","Officials are trying to retrieve the bodies from the water,"" police official J.D. Tambe told Reuters."
3.500,"According to market research from The NPD Group, the number of people downloading music dropped from 14.5 million in April to 10.4 million in June.","The number of households acquiring music fell from a high of 14.5 million in April to 12.7 million in May and 10.4 million in June, according to NPD."
3.250,"""This is an easy case in my view and wholly without merit, both factually and legally.""","""This case is wholly without merit, both factually and legally,"" Judge Denny Chin scoffed."
2.250,The weather service reported maximum sustained winds of nearly 105 miles an hour with stronger gusts.,"Maximum sustained winds were around 40 mph, with stronger gusts."
4.000,"The WiFi potties were to be unveiled this summer, at music festivals in Britain.",The world's first portal potty was soon to be rolled out at summer festivals in Great Britain.
4.250,"MEN who drink tea, particularly green tea, can greatly reduce their risk of prostate cancer, a landmark WA study has found.","DRINKING green tea can dramatically reduce the risk of men contracting prostate cancer, a study by Australian researchers has discovered."
4.000,Forecasters said warnings might go up for Cuba later Thursday.,Watches or warnings could be issued for eastern Cuba later on Thursday.
3.000,Shiites make up 20 percent of the country's population.,"Sunnis make up 77 percent of Pakistan's population, Shiites 20 percent."
3.400,"The CWA, which represents more than 2,300 Comcast employees, called that excessive when a typical union employee makes about $27,000 a year.","The Communications Workers Union, which represents more than 2,300 Comcast employees, called the executive pay package excessive when a typical union employee makes about $27,000 annually."
3.800,"The consumer group generated $4.47 billion of profit and $20 billion of revenue from January to June, 53% of Citigroup's profit and revenue.","It generated $4.47 billion of profit and $20 billion of revenue in the year's first half, 53 percent of Citigroup's totals."
4.000,"GALLOWAY TOWNSHIP, N.J. Annika Sorenstam drew the crowds, Michelle Wie got the publicity but Angela Stanford took her first LPGA victory.","GALLOWAY TOWNSHIP, N.J. >> Annika Sorenstam and Michelle Wie drew the crowds, but Angela Stanford took her first LPGA victory."
2.500,British Airways' New York-to-London runs will end in October.,British Airways plans to retire its seven Concordes at the end of October.
4.500,"The new policy gives greatest weight to grades, test scores and a student's high school curriculum.","Academic achievement -- including grades, test scores and high school curriculum -- are given the highest priority."
4.500,"The new version, W32/Sobig.C-mm, had already reached a ""high level"" outbreak status by Monday, according to security analysts.","Security analysts said the new version, W32/Sobig.C-mm, had already reached a ""high level"" outbreak status by mid-afternoon on Monday."
3.600,"The only other person who had not been accounted for Sunday was a man from Fort Worth, Texas.","Another person, a man from Fort Worth, Texas, also was missing."
0.800,"The broader Standard & Poor's 500 Index <.SPX> gave up 11.91 points, or 1.19 percent, at 986.60.","The technology-laced Nasdaq Composite Index .IXIC declined 16.68 points, or 1.01 percent, at 1,636.94."
4.091,AFTRA members approved the merger by a vote of 75.88% to 24.12%.,"AFTRA, on the other hand, approved the merger by a whopping 75 percent."
2.250,"The currency briefly weakened slightly on Monday to trade at 55.34/39, not far from its record low of 55.75.","The currency briefly weakened on Monday morning but rebounded to trade at 55.25/29, little changed from Friday."
5.000,"While some other parts of Africa have been used as staging grounds for the terror group, Malawi previously had not been a major focus of investigations into al-Qaida.","While some other parts of Africa have been used as Al Qaeda staging grounds, Malawi had previously not been a major focus of investigations into the group."
3.750,"On Sunday, a U.S. soldier was killed and another injured in southern Iraq when a munitions dump exploded.","On Sunday, a U.S. soldier was killed and another injured when a munitions dump they were guarding exploded in southern Iraq."
3.667,"""I'm real excited to be a Cleveland Cavalier,"" James said.","""I'm really excited about going to Cleveland,"" James told ESPN.com."
2.667,"According to law enforcement officials, the person arrested was a known sophisticated hacker.","According to law enforcement officials, the individual decrypted passwords on the server."
3.333,"Excluding litigation charges, RIM's loss narrowed even further to 1 cent a share.","Excluding patent litigation, RIM's loss for the quarter was $700,000, or 1 cent per share."
3.000,"The broad Standard & Poor's 500 Index .SPX gained 19.72 points, or 1.98 percent, to 1,015.69.","The Dow Jones industrial average .DJI jumped 2.09 percent, while the Standard & Poor's 500 Index .SPX leapt 2.23 percent."
3.444,"It will also help reform the Royal Solomon Islands Police, strengthen the courts and prisons system and protect key institutions such as the Finance Ministry from intimidation.","The intervention force will confiscate weapons, reform the police, strengthen the courts and prison system and protect key institutions such as the Finance Ministry."
3.800,"Mr Alibek said: ""Our outcomes are very encouraging.","""Our outcomes are very encouraging,"" George Mason researcher Ken Alibek said."
3.600,"A jury convicted rapper C-Murder, also known as Corey Miller, of second-degree murder Tuesday night in the shooting death of a 16-year-old in a Jefferson Parish nightclub.","Rapper C-Murder has been convicted of second-degree murder, a crime that carries an automatic life sentence, in the shooting death of a 16-year-old inside a Jefferson Parish nightclub."
5.000,Wells’ other series include NBC’s ER and Third Watch.,"Wells' other series include NBC's ""ER"" and ""Third Watch."""
3.000,"Thirty-three of the 42 men had been arrested by Wednesday evening, said Daniel Bogden, U.S. attorney in Nevada.","Thirty-four of the men have been arrested and the others are being sought, US Attorney Daniel Bogden said yesterday."
3.400,Five-time Tour de France winner and cancer survivor Lance Armstrong had a few words of advice for other cancer survivors in Denver on Friday.,Five-time Tour de France winner Lance Armstrong is in Denver today for a meeting about surviving cancer.
3.800,"She survives him as do their four children -- sons Anthony and Kelly, daughters Linda Hope and Nora Somers -- and four grandchildren.",Hope is survived by his wife; sons Anthony and Kelly; daughters Linda and Nora Somers; and four grandchildren.
3.600,Police using pepper spray arrested 12 people Monday night at a march and rally by about 400 activists protesting an annual training seminar of the Law Enforcement Intelligence Unit.,Police used pepper spray and rubber bullets to disperse a downtown march and rally last night by activists protesting an annual police intelligence-training seminar.
3.600,The department ordered an 18.2 percent reduction for Allstate Texas Lloyds and a 12 percent reduction for State Farm Lloyds.,"The department ordered a 12 percent reduction for State Farm Lloyds, the state's largest insurer, and an 18.2 percent reduction for Allstate Texas Lloyds, the third-largest."
2.400,Colgate shares closed Monday at $56.30 on the New York Stock Exchange.,Colgate shares were down 30 cents at $56 in morning trade on the New York Stock Exchange.
2.400,"Several shots rang out in the darkness, but only one gator had been killed by 11 p.m.","Several shots rang out Wednesday night, but no gators were killed then."
0.889,"The broader Standard & Poor's 500 Index <.SPX> was 0.46 points lower, or 0.05 percent, at 997.02.","The technology-laced Nasdaq Composite Index .IXIC was up 7.42 points, or 0.45 percent, at 1,653.44."
4.750,"Republicans had pledged to complete a Medicare drug package by August, then extended the deadline to Oct. 17, and they are still working on it.","Republicans had pledged to complete a Medicare drug package by August, then extended it to Oct. 17."
3.500,"The index, which measures activity in the service sector, climbed to 50.7 last month from 47.9 in March.","The Arizona-based ISM reported Monday that its non-manufacturing index rose to 50.7 last month, from 47.9 in March."
5.000,"Bush plans to meet with Israeli Prime Minister Ariel Sharon and the new Palestinian prime minister, Mahmoud Abbas, in the Jordanian port of Aqaba on Wednesday.","On Wednesday next week, Mr Bush will meet Israeli Prime Minister Ariel Sharon and new Palestinian leader Mahmoud Abbas in Aqaba, Jordan."
3.600,"""Unlike many early-stage Internet firms, Google is believed to be profitable.",The privately held Google is believed to be profitable.
3.000,"""It is safe to assume the Senate is prepared to pass some form of cap,"" King said.",Its safe to assume the Senate is prepared to pass some form of a cap....The level of it is to be debated.
3.800,"And when asked if he felt regret or guilt about the attack his answer was an adamant ""no"".","Asked if he felt any regret about theOctober 12 attack, the answer was an adamant ""no""."
3.000,"Another big gainer was Rambus Inc. (nasdaq: RMBS - news - people), which shot 32 percent higher.","Rambus Inc. (nasdaq: RMBS - news - people) shot up 38 percent, making it the biggest percentage gainer on the Nasdaq."
1.800,Russ Britt is the Los Angeles Bureau Chief for CBS.MarketWatch.com.,Emily Church is London bureau chief of CBS.MarketWatch.com.
4.800,"""If you pass this bill, Big Brother will be watching you,"" said Rep. John Mabry, D-Waco.","""If you pass this bill,"" Rep. John Mabry Jr., D-Waco, told colleagues, ""Big Brother will be watching you."""
3.800,"Douglas Robinson, a senior vice president of finance, will take over as chief financial officer on an interim basis.","Douglas Robinson, CA senior vice president, finance, will fill the position in the interim."
4.000,Several states and the federal government later passed similar or more strict bans.,"Following California's lead, several states and the federal government passed similar or tougher bans."
4.600,"Still, he noted Miami must decide whether to seek ACC membership for the next school year by June 30 to adhere to Big East guidelines.","Still, he noted that Miami must decide whether to seek A.C.C. membership by June 30 to adhere to Big East guidelines."
4.800,"Revenues for ""The Hulk"" came in well below those of last month's Marvel Comics adaptation, ""X2: X-Men United,"" which grossed $85.6 million in its opening weekend.","The Hulk trailed last month's Marvel Comics adaptation, X2: X-Men United, which grossed $85.6-million in its opening weekend."
2.000,"Shares of Littleton, Colorado-based EchoStar rose $1.63, or 5.3 percent, to $32.26 at 10:55 a.m.","On Monday, EchoStar (DISH: news, chart, profile) shares shrank $1.40, or 4.4 percent, to $30.63."
3.200,"The valid signatures of 897,158 registered California voters must be collected and turned in to county election officials by Sept. 2.","To force a recall election of Davis, the valid signatures of 897,158 registered California voters must be turned in to election officials."
2.200,"The benchmark 10-year note US10YT=RR lost 11/32 in price, taking its yield to 3.21 percent from 3.17 percent late on Monday.","Further out the curve, the benchmark 10-year note US10YT=RR shed 18/32 in price, taking its yield to 3.24 percent from 3.17 percent."
4.000,The MDC called the strike to force Mr Mugabe to either resign or negotiate a settlement of the Zimbabwe crisis.,The MDC called the week-long protest to urge Mugabe either to resign or to negotiate a settlement of the crisis gripping the country.
1.200,"Revenue rose 3.9 percent, to $1.63 billion from $1.57 billion.","The McLean, Virginia-based company said newspaper revenue increased 5 percent to $1.46 billion."
4.000,"In January 2000, notebooks represented less than 25 percent of sales volume.","That compares with January 2000, when laptops represented less than 25 percent of sales volume, NPD said."
3.000,Argentine Guillermo Coria and Netherlander Martin Verkerk are in the other half.,The other semifinal between Guillermo Coria of Argentina and Martin Verkerk of the Netherlands is also compelling.
